expected_error_code,detected_error_code,count
BROKEN_CLAIM_REFERENCE,BROKEN_CLAIM_REFERENCE,30
BROKEN_PATH,BROKEN_PATH,30
CONTEXT_FALSE_POSITIVE,CONTEXT_FALSE_POSITIVE,30
DUPLICATE_ARTIFACT_ID,DUPLICATE_ARTIFACT_ID,30
EVIDENCE_LEVEL_ESCALATION,EVIDENCE_LEVEL_ESCALATION,60
EVIDENCE_LEVEL_MISMATCH,EVIDENCE_LEVEL_MISMATCH,30
HASH_MISMATCH,HASH_MISMATCH,30
INCOMPLETE_MANIFEST,INCOMPLETE_MANIFEST,30
MISSING_ARTIFACT,MISSING_ARTIFACT,30
MISSING_COMMAND,MISSING_COMMAND,30
MISSING_EVIDENCE_LEVEL,MISSING_EVIDENCE_LEVEL,30
MISSING_EXPECTED_OUTPUT,MISSING_EXPECTED_OUTPUT,30
MISSING_TOOL_VERSION,MISSING_TOOL_VERSION,30
NONDETERMINISTIC_OUTPUT,NONDETERMINISTIC_OUTPUT,30
NON_PORTABLE_PATH,NON_PORTABLE_PATH,90
PACKAGE_MISSING_CITATION,PACKAGE_MISSING_CITATION,30
PACKAGE_MISSING_LICENSE,PACKAGE_MISSING_LICENSE,30
PACKAGE_MISSING_README,PACKAGE_MISSING_README,30
PACKAGE_STRUCTURE_DRIFT,PACKAGE_STRUCTURE_DRIFT,30
RELEASE_CONTAMINATION,RELEASE_CONTAMINATION,30
REPLAY_UNSAFE,REPLAY_UNSAFE,30
SCHEMA_INVALID,SCHEMA_INVALID,30
STALE_CHECKSUM,STALE_CHECKSUM,30
TOOL_VERSION_DRIFT,TOOL_VERSION_DRIFT,30
UNBOUND_CLAIM,UNBOUND_CLAIM,30
UNINDEXED_ARTIFACT,UNINDEXED_ARTIFACT,30
UNSUPPORTED_CLAIM,UNSUPPORTED_CLAIM,30
