case_id,subset,case_path,source_repos,source_commits,source_files,expected_adapter,detected_adapter,adapter_detection_correct,replayable_open_source,metadata_only,public_source,artifact_count,ingest_or_replay_status,validation_status,replay_status,artifact_schema_validity,selection_manual_adapter_fix_expected,observed_manual_adapter_fix_required,selection_hardware_required,observed_hardware_dependency,selection_commercial_dependency_required,observed_commercial_dependency,unsupported_boundary_correct,status
logisim_combinational_circuit,logisim_sample_subset,examples/external_cases/logisim_sample_subset/logisim_combinational_circuit/source,NenadPantelic/Simple-digital-logic-circuits-in-LogiSim,6e9fd4abe7d71b3767099a7a404d9ad7d47f0e2b,1,logisim,logisim,yes,no,yes,yes,1,PASS,PASS,METADATA_ONLY,yes,no,no,no,no,no,no,yes,PASS
logisim_example_1,logisim_sample_subset,examples/external_cases/logisim_sample_subset/logisim_example_1/source,NenadPantelic/Simple-digital-logic-circuits-in-LogiSim,6e9fd4abe7d71b3767099a7a404d9ad7d47f0e2b,1,logisim,logisim,yes,no,yes,yes,1,PASS,PASS,METADATA_ONLY,yes,no,no,no,no,no,no,yes,PASS
ngspice_gain_stage,ngspice_examples_subset,examples/external_cases/ngspice_examples_subset/ngspice_gain_stage/source,ngspice/ngspice,032b1c32c4dbad45ff132bcfac1dbecadbd8abb0,1,ngspice,ngspice,yes,yes,no,yes,1,PASS,PASS,ARTIFACTGATE_PACKAGE_REPLAY_PASS,yes,no,no,no,no,no,no,yes,PASS
ngspice_param_sweep,ngspice_examples_subset,examples/external_cases/ngspice_examples_subset/ngspice_param_sweep/source,ngspice/ngspice,032b1c32c4dbad45ff132bcfac1dbecadbd8abb0,1,ngspice,ngspice,yes,yes,no,yes,1,PASS,PASS,ARTIFACTGATE_PACKAGE_REPLAY_PASS,yes,no,no,no,no,no,no,yes,PASS
ngspice_rc_meas_ac,ngspice_examples_subset,examples/external_cases/ngspice_examples_subset/ngspice_rc_meas_ac/source,ngspice/ngspice,032b1c32c4dbad45ff132bcfac1dbecadbd8abb0,1,ngspice,ngspice,yes,yes,no,yes,1,PASS,PASS,ARTIFACTGATE_PACKAGE_REPLAY_PASS,yes,no,no,no,no,no,no,yes,PASS
verilator_make_hello_c,verilog_open_core_subset,examples/external_cases/verilog_open_core_subset/verilator_make_hello_c/source,verilator/verilator,eafe9636cf58a74a6a90b6127821b2f4fab8940f,1,verilator,verilator,yes,yes,no,yes,1,PASS,PASS,ARTIFACTGATE_PACKAGE_REPLAY_PASS,yes,no,no,no,no,no,no,yes,PASS
verilator_make_tracing_c,verilog_open_core_subset,examples/external_cases/verilog_open_core_subset/verilator_make_tracing_c/source,verilator/verilator,eafe9636cf58a74a6a90b6127821b2f4fab8940f,2,verilator,verilator,yes,yes,no,yes,2,PASS,PASS,ARTIFACTGATE_PACKAGE_REPLAY_PASS,yes,no,no,no,no,no,no,yes,PASS
yosys_cmos_counter,yosys_examples_subset,examples/external_cases/yosys_examples_subset/yosys_cmos_counter/source,YosysHQ/yosys,5d7486115ae5c5a4f87a4b8f9173b5f245a22536,3,yosys,yosys,yes,yes,no,yes,3,PASS,PASS,ARTIFACTGATE_PACKAGE_REPLAY_PASS,yes,no,no,no,no,no,no,yes,PASS
yosys_osu035_example,yosys_examples_subset,examples/external_cases/yosys_examples_subset/yosys_osu035_example/source,YosysHQ/yosys,5d7486115ae5c5a4f87a4b8f9173b5f245a22536,2,yosys,yosys,yes,yes,no,yes,2,PASS,PASS,ARTIFACTGATE_PACKAGE_REPLAY_PASS,yes,no,no,no,no,no,no,yes,PASS
yosys_smtbmc_demo1,yosys_examples_subset,examples/external_cases/yosys_examples_subset/yosys_smtbmc_demo1/source,YosysHQ/yosys,5d7486115ae5c5a4f87a4b8f9173b5f245a22536,1,yosys,yosys,yes,yes,no,yes,1,PASS,PASS,ARTIFACTGATE_PACKAGE_REPLAY_PASS,yes,no,no,no,no,no,no,yes,PASS
