scale,repeat,artifact_rows,estimated_peak_memory_mb,measured_output_size_mb,status
1000,1,1000,32,0.14753,PASS
1000,2,1000,32,0.14753,PASS
1000,3,1000,32,0.14753,PASS
1000,4,1000,32,0.14753,PASS
1000,5,1000,32,0.14753,PASS
1000,6,1000,32,0.14753,PASS
1000,7,1000,32,0.14753,PASS
1000,8,1000,32,0.14753,PASS
1000,9,1000,32,0.14753,PASS
1000,10,1000,32,0.14753,PASS
3000,1,3000,32,0.444122,PASS
3000,2,3000,32,0.444122,PASS
3000,3,3000,32,0.444122,PASS
3000,4,3000,32,0.444122,PASS
3000,5,3000,32,0.444122,PASS
3000,6,3000,32,0.444122,PASS
3000,7,3000,32,0.444122,PASS
3000,8,3000,32,0.444122,PASS
3000,9,3000,32,0.444122,PASS
3000,10,3000,32,0.444122,PASS
5000,1,5000,32,0.739883,PASS
5000,2,5000,32,0.739883,PASS
5000,3,5000,32,0.739883,PASS
5000,4,5000,32,0.739883,PASS
5000,5,5000,32,0.739883,PASS
5000,6,5000,32,0.739883,PASS
5000,7,5000,32,0.739883,PASS
5000,8,5000,32,0.739883,PASS
5000,9,5000,32,0.739883,PASS
5000,10,5000,32,0.739883,PASS
10000,1,10000,32,1.49961,PASS
10000,2,10000,32,1.49961,PASS
10000,3,10000,32,1.49961,PASS
10000,4,10000,32,1.49961,PASS
10000,5,10000,32,1.49961,PASS
10000,6,10000,32,1.49961,PASS
10000,7,10000,32,1.49961,PASS
10000,8,10000,32,1.49961,PASS
10000,9,10000,32,1.49961,PASS
10000,10,10000,32,1.49961,PASS
30000,1,30000,32,4.49952,PASS
30000,2,30000,32,4.49952,PASS
30000,3,30000,32,4.49952,PASS
30000,4,30000,32,4.49952,PASS
30000,5,30000,32,4.49952,PASS
50000,1,50000,38.7487,7.49946,PASS
50000,2,50000,38.7487,7.49946,PASS
50000,3,50000,38.7487,7.49946,PASS
50000,4,50000,38.7487,7.49946,PASS
50000,5,50000,38.7487,7.49946,PASS
100000,1,100000,77.976,15.1904,PASS
100000,2,100000,77.976,15.1904,PASS
100000,3,100000,77.976,15.1904,PASS
